,cleaned_body,compound_score,pos_score,neu_score,neg_score
101,china southern airline absolute nightmare flight sydney guangzhou redirected hainan due bad weather guangzhou allowed plane wait hour weather cleared even though connecting flight took hour finally arrived guangzhou think overbooked flight ration food drink stock limited finally arrived guangzhou spent aud lounge airport wait another hour new flight put u minh exhausted wanted sleep shower eat airline provide facility food stopover delay sister missed full day minh hour delay flight back home hanoi guangzhou causing u miss connecting flight sydney created absolute chaos wait queue guangzhou airport pm hundred passenger missed connecting flight hour finally announced flight back australia night would process everyone day visa provide accomodation night time processed told needed back airport order queue put standby flight back australia ended staying airport night entirely unprepared airport freezing cold summer clothes chinese yuan pay tea morning australian debit card gave u terrible exchange rate free clean drinking water airport wait another hour queue told seat available flight back australia st may th april original flight meant th april china southern customer service terrible barely communication parent child waiting queue people access internet china block access people without wechat refund flight airline offered expected back airport accommodation everyday get another day visa flight opened sister decided make way back home took day total affordable option home hong kong singapore gold coast aud pocket due booking new flight expense meal water data roaming taxi fare exhausted came cold due chilly air conditioned airport extra day annual leave hopefully travel insurance cover u plenty people travel insurance internet may still waiting guangzhou flight back australia today never fly china southern,-0.9621,0.049,0.822,0.129
102,guangzhou adelaide satisfied seat suitable think seat surroundings spacious clean tv screen fantastic different kind movie game awesome interesting really recommend flight airline,0.9686,0.58,0.42,0.0
103,surprisingly boeing seat enough legroom width aircraft aisle wider seat recline angle storage enough short flight,0.296,0.128,0.872,0.0
104,flew airline time total london bangkok back first leg journey flight amsterdam amsterdam guangzhou flight extremely comfortable airbus lot space cabin crew helpful made sure aircraft kept clean journey food good way back put u flight horrendous time flew directly china london bit longer would make sense use comfortable aircraft close space even though worst flight poorly organised checking told partner cannot beside instead put couple silly find seat next free saw mother child unable second half seat distributed literally like flying ryanair food awful ran beer first round drink u favour discontinue flight hour seat broken screen function correctly toilet seat even stay,0.893,0.213,0.679,0.108
105,check smooth lady check counter helpful getting seat request fulfilled seat comfortable crew polite overall pleasant experience thing think could improved quality food,0.936,0.459,0.541,0.0
106,rather small seat space fine cushion supportive enough however shape kind weird straight gap lower back seat back lay back little neck going bend forward fairly uncomfortable,0.4215,0.26,0.559,0.182
107,seat layout economy cabin seems congested overcrowded economy seat though well upholstered offer much comfort long sitting head rest tilt angle ok legroom rather minimal comfortable tall person getting economy seat comfortable,0.9081,0.332,0.668,0.0
108,flew overnight auckland guangzhou china southern boeing hour agony seat uncomfortable ever experienced firm unyielding like sitting sand springiness result try shift position every minute try ease aching muscle avail got sleep probably rest flight standard remember little except discomfort thing remember window shade electronic think crew overrode view dawn approaching china contrast old domestic china southern connected normal seat quite comfortable relief would fly china southern never,0.2143,0.144,0.722,0.134
109,economy class seat average comfort level adjustable head support ife ok long range trip recent movie earphone plug sinked inside cann use wish maintenance guy fix seat got additional usb connection charge mobile equipment first seat config economy class,0.8442,0.224,0.776,0.0
110,seat boeing guangzhou new york comfortable seat without people however shortage overhead bin airplane bit disappointing nevertheless many passenger quiet flight environment food service offered satisfied,0.5632,0.237,0.666,0.097
111,sitting seat bulkhead ample leg room seat headrest able set could rest head side comfort leg rest could somewhat would comfortable leg rest able raise little entertainment monitor easy use touch screen tray table easy assemble arm rest seat could retract good position relaxing place rest,0.9545,0.332,0.668,0.0
